"Player","League Value","Proj Value","Avg Cost","% Owned","FGM/A","FG%","FTM","3PTM","PTS","REB","AST","ST","BLK"
"Kevin Durant GS - F","$68 ","$68 ","$76.20 ","100%","551/1026","0.537","336","117","1555","513","300","66","99"
"Russell Westbrook OKC - G","$67 ","$67 ","$77.20 ","100%","824/1941","0.425","710","200","2558","864","840","133","31"
"James Harden Hou - G","$67 ","$67 ","$75.20 ","100%","674/1533","0.44","746","262","2356","659","907","121","38"
"Stephen Curry GS - G","$67 ","$67 ","$72.40 ","100%","675/1444","0.467","325","324","1999","354","524","142","17"
"Giannis Antetokounmpo Mil - F","$61 ","$61 ","$74.30 ","100%","656/1259","0.521","471","49","1832","700","434","131","151"
"Karl-Anthony Towns Min - C","$60 ","$60 ","$68.50 ","100%","802/1480","0.542","356","101","2061","1007","220","56","103"
"Anthony Davis NO - F,C","$58 ","$58 ","$65.80 ","100%","770/1526","0.505","519","40","2099","884","157","94","167"
"Kawhi Leonard SA - G,F","$54 ","$54 ","$61.10 ","100%","636/1312","0.485","469","147","1888","430","260","133","55"
"LeBron James Cle - F","$53 ","$53 ","$58.70 ","100%","736/1344","0.548","358","124","1954","639","646","92","44"
"Nikola Jokic Den - F,C","$49 ","$49 ","$53.10 ","100%","494/854","0.578","188","45","1221","718","359","61","55"
"John Wall Was - G","$47 ","$47 ","$56.70 ","100%","647/1435","0.451","422","89","1805","326","831","157","49"
"Chris Paul Hou - G","$47 ","$47 ","$47.60 ","100%","374/785","0.476","232","124","1104","303","563","120","8"
"Kyrie Irving Bos - G","$47 ","$47 ","$48.40 ","100%","671/1420","0.473","297","177","1816","230","418","83","24"
"DeMarcus Cousins NO - F,C","$46 ","$46 ","$51.10 ","100%","647/1432","0.452","517","131","1942","794","332","100","94"
"Rudy Gobert Uta - C","$45 ","$45 ","$50.40 ","100%","413/625","0.661","311","0","1137","1035","98","49","214"
"Jimmy Butler Min - G,F","$41 ","$41 ","$43.60 ","100%","570/1252","0.455","585","91","1816","470","417","143","32"
"Paul George OKC - F","$40 ","$40 ","$47.80 ","100%","622/1348","0.461","336","195","1775","492","251","119","27"
"Damian Lillard Por - G","$40 ","$40 ","$42.90 ","100%","661/1488","0.444","488","214","2024","368","440","68","20"
"Hassan Whiteside Mia - C","$37 ","$37 ","$41.20 ","100%","542/973","0.557","225","0","1309","1088","57","57","162"
"Draymond Green GS - F","$37 ","$37 ","$39.80 ","100%","272/650","0.418","151","81","776","599","533","154","105"
"Kristaps Porzingis NY - F,C","$36 ","$36 ","$37.60 ","100%","443/985","0.45","198","112","1196","475","97","47","129"
"Kemba Walker Cha - G","$34 ","$34 ","$36.40 ","100%","643/1449","0.444","304","240","1830","308","434","85","22"
"Kyle Lowry Tor - G","$34 ","$34 ","$36.20 ","100%","426/918","0.464","299","193","1344","286","417","89","19"
"Mike Conley Mem - G","$32 ","$32 ","$30.10 ","99%","464/1010","0.459","316","171","1415","242","433","92","19"
"Gordon Hayward Bos - G,F","$32 ","$32 ","$34.20 ","100%","545/1156","0.471","362","149","1601","394","252","73","20"
"Myles Turner Ind - F,C","$29 ","$29 ","$31.20 ","100%","444/869","0.511","245","40","1173","589","106","73","173"
"C.J. McCollum Por - G","$28 ","$28 ","$30.60 ","100%","692/1441","0.48","268","185","1837","289","285","72","42"
"Joel Embiid Phi - F,C","$27 ","$27 ","$30.50 ","99%","200/429","0.466","191","36","627","243","66","27","76"
"Klay Thompson GS - G,F","$27 ","$27 ","$30.80 ","100%","644/1376","0.468","186","268","1742","285","160","66","40"
"Bradley Beal Was - G","$25 ","$25 ","$26.60 ","100%","637/1322","0.482","282","223","1779","240","267","83","21"
"Marc Gasol Mem - C","$25 ","$25 ","$25.90 ","99%","532/1160","0.459","278","104","1446","463","338","67","99"
"DeMar DeRozan Tor - G,F","$25 ","$25 ","$28.00 ","100%","721/1545","0.467","545","33","2020","386","290","78","13"
"Eric Bledsoe Pho - G","$24 ","$24 ","$25.10 ","99%","449/1034","0.434","388","104","1390","320","418","91","31"
"Blake Griffin LAC - F,C","$23 ","$23 ","$23.50 ","99%","479/971","0.493","320","38","1316","497","300","57","23"
"Goran Dragic Mia - G","$22 ","$22 ","$22.30 ","98%","534/1124","0.475","298","117","1483","279","424","89","13"
"Kevin Love Cle - F,C","$21 ","$21 ","$23.60 ","100%","370/867","0.427","257","145","1142","666","116","53","21"
"Khris Middleton Mil - G,F","$21 ","$21 ","$21.30 ","98%","150/333","0.45","81","45","426","122","99","41","7"
"Otto Porter Was - F","$21 ","$21 ","$19.50 ","97%","414/803","0.516","99","148","1075","514","121","116","42"
"Brook Lopez LAL - C","$20 ","$20 ","$22.00 ","98%","555/1172","0.474","295","134","1539","403","176","38","124"
"Paul Millsap Den - F,C","$20 ","$20 ","$20.80 ","99%","430/972","0.442","311","75","1246","533","252","90","62"
"Ricky Rubio Uta - G","$19 ","$19 ","$17.80 ","96%","261/650","0.402","254","60","836","305","682","128","10"
"Isaiah Thomas Cle - G","$19 ","$19 ","$38.70 ","98%","682/1473","0.463","590","245","2199","205","448","70","13"
"Al Horford Bos - F,C","$19 ","$19 ","$17.70 ","98%","379/801","0.473","108","86","952","465","337","52","86"
"Jrue Holiday NO - G","$18 ","$18 ","$14.10 ","95%","405/893","0.454","119","100","1029","264","488","100","44"
"DeAndre Jordan LAC - C","$17 ","$17 ","$18.60 ","99%","412/577","0.714","205","0","1029","1114","96","50","134"
"Jeff Teague Min - G","$17 ","$17 ","$18.60 ","96%","402/909","0.442","360","90","1254","331","639","101","32"
"Jusuf Nurkic Por - C","$16 ","$16 ","$19.50 ","96%","271/534","0.507","120","0","662","467","123","50","74"
"Nikola Vucevic Orl - F,C","$16 ","$16 ","$13.50 ","95%","483/1031","0.468","107","23","1096","779","208","76","74"
"LaMarcus Aldridge SA - F,C","$16 ","$16 ","$14.40 ","97%","500/1049","0.477","220","23","1243","523","139","46","88"
"Serge Ibaka Tor - F,C","$15 ","$15 ","$15.50 ","95%","471/982","0.48","107","124","1173","538","75","41","124"
"Dennis Schroder Atl - G","$14 ","$14 ","$17.00 ","93%","548/1214","0.451","218","100","1414","248","499","74","16"
"Carmelo Anthony OKC - F","$13 ","$13 ","$18.70 ","99%","602/1389","0.433","304","151","1659","437","213","61","33"
"Devin Booker Pho - G","$13 ","$13 ","$19.20 ","98%","606/1431","0.423","367","147","1726","249","268","72","21"
"Victor Oladipo Ind - G","$13 ","$13 ","$11.30 ","92%","412/932","0.442","116","127","1067","291","176","77","21"
"Ben Simmons Phi - F","$13 ","$13 ","$15.10 ","95%","-/-","-","-","-","-","-","-","-","-"
"Andre Drummond Det - F,C","$12 ","$12 ","$15.70 ","95%","483/911","0.53","137","2","1105","1115","90","124","89"
"Tobias Harris Det - F","$12 ","$12 ","$8.70 ","90%","511/1063","0.481","190","109","1321","416","142","59","39"
"Robert Covington Phi - F","$12 ","$12 ","$8.60 ","89%","292/732","0.399","143","137","864","436","102","127","69"
"Elfrid Payton Orl - G","$12 ","$12 ","$7.50 ","89%","430/912","0.471","146","40","1046","387","529","88","40"
"D'Angelo Russell Bkn - G","$12 ","$12 ","$11.10 ","94%","351/867","0.405","147","135","984","221","303","87","16"
"Harrison Barnes Dal - F","$11 ","$11 ","$9.90 ","92%","599/1280","0.468","242","78","1518","394","117","65","15"
"Trevor Ariza Hou - G,F","$11 ","$11 ","$8.80 ","90%","326/798","0.409","93","191","936","458","175","147","20"
"Andrew Wiggins Min - G,F","$10 ","$10 ","$15.30 ","96%","709/1570","0.452","412","103","1933","328","189","82","30"
"Nicolas Batum Cha - G,F","$10 ","$10 ","$15.90 ","87%","393/975","0.403","243","135","1164","481","456","86","29"
"Clint Capela Hou - F,C","$10 ","$10 ","$8.80 ","90%","362/563","0.643","94","0","818","526","63","34","79"
"Lonzo Ball LAL - G","$10 ","$10 ","$15.00 ","95%","-/-","-","-","-","-","-","-","-","-"
"Jae Crowder Cle - F","$10 ","$10 ","$8.80 ","90%","333/720","0.463","176","157","999","415","155","73","23"
"Danilo Gallinari LAC - F","$10 ","$10 ","$6.60 ","88%","335/750","0.447","349","126","1145","325","135","40","15"
"Nerlens Noel Dal - F,C","$10 ","$10 ","$6.70 ","87%","184/309","0.595","77","0","445","294","50","65","50"
"Lou Williams LAC - G","$10 ","$10 ","$6.80 ","88%","428/998","0.429","402","163","1421","202","239","80","19"
"Marcin Gortat Was - C","$9 ","$9 ","$9.90 ","89%","390/674","0.579","103","0","883","849","121","40","61"
"Avery Bradley Det - G","$9 ","$9 ","$5.90 ","89%","359/775","0.463","68","108","894","334","122","68","11"
"Jonas Valanciunas Tor - C","$9 ","$9 ","$8.80 ","88%","391/702","0.557","176","1","959","759","57","37","63"
"Dwight Howard Cha - F,C","$9 ","$9 ","$10.30 ","91%","388/613","0.633","226","0","1002","940","104","64","92"
"Julius Randle LAL - F","$9 ","$9 ","$6.70 ","89%","377/774","0.487","204","17","975","637","264","49","37"
"George Hill Sac - G","$8 ","$8 ","$5.10 ","85%","289/606","0.477","157","94","829","167","204","50","11"
"Dennis Smith Jr. Dal - G","$8 ","$8 ","$4.60 ","86%","-/-","-","-","-","-","-","-","-","-"
"Patrick Beverley LAC - G","$8 ","$8 ","$3.20 ","84%","228/543","0.42","73","110","639","393","281","99","25"
"Aaron Gordon Orl - F","$8 ","$8 ","$3.80 ","86%","393/865","0.454","156","77","1019","405","150","65","40"
"Gorgui Dieng Min - F,C","$8 ","$8 ","$5.10 ","82%","332/661","0.502","136","16","816","647","158","88","95"
"Dwyane Wade Cle - G","$8 ","$8 ","$5.80 ","89%","414/955","0.434","223","45","1096","270","228","86","41"
"Evan Fournier Orl - G,F","$7 ","$7 ","$4.60 ","84%","408/930","0.439","223","128","1167","209","202","66","4"
"Gary Harris Den - G,F","$7 ","$7 ","$3.90 ","83%","320/637","0.502","104","107","851","178","164","71","8"
"Rajon Rondo NO - G","$7 ","$7 ","$3.70 ","82%","229/561","0.408","30","50","538","355","461","99","11"
"Tim Hardaway Jr. NY - G,F","$7 ","$7 ","$3.20 ","84%","415/912","0.455","164","149","1143","224","182","55","15"
"James Johnson Mia - F","$7 ","$7 ","$3.30 ","81%","368/769","0.479","152","87","975","376","276","76","86"
"Kentavious Caldwell-Pope LAL - G","$7 ","$7 ","$2.90 ","77%","370/928","0.399","154","153","1047","248","193","90","12"
"Jeremy Lin Bkn - G","$7 ","$7 ","$3.60 ","82%","175/400","0.438","115","58","523","135","184","42","15"
"Markelle Fultz Phi - G","$7 ","$7 ","$6.20 ","88%","-/-","-","-","-","-","-","-","-","-"
"Markieff Morris Was - F","$6 ","$6 ","$2.30 ","72%","406/889","0.457","180","71","1063","493","126","82","43"
"Steven Adams OKC - C","$6 ","$6 ","$4.30 ","84%","374/655","0.571","157","0","905","613","86","89","78"
"Willy Hernangomez NY - C","$6 ","$6 ","$2.40 ","77%","246/465","0.529","91","4","587","501","96","41","36"
"Dirk Nowitzki Dal - F,C","$6 ","$6 ","$3.00 ","81%","296/678","0.437","98","79","769","353","82","30","38"
"Brandon Ingram LAL - G,F","$6 ","$6 ","$3.00 ","84%","276/686","0.402","133","55","740","316","166","49","36"
"Marcus Smart Bos - G","$6 ","$6 ","$1.80 ","75%","269/749","0.359","203","94","835","305","364","125","34"
"Malcolm Brogdon Mil - G","$6 ","$6 ","$3.80 ","82%","290/635","0.457","109","78","767","213","317","84","12"
"Darren Collison Ind - G","$5 ","$5 ","$1.60 ","75%","340/714","0.476","147","73","900","152","312","67","9"
"Pau Gasol SA - F,C","$5 ","$5 ","$2.90 ","81%","303/604","0.502","130","56","792","501","150","24","70"
"Eric Gordon Hou - G","$5 ","$5 ","$3.60 ","83%","412/1016","0.406","147","246","1217","201","188","48","41"
"Dario Saric Phi - F","$5 ","$5 ","$8.10 ","80%","381/927","0.411","172","106","1040","513","182","57","30"
"Rudy Gay SA - F","$5 ","$5 ","$4.10 ","83%","201/442","0.455","118","42","562","190","83","44","26"
"Marquese Chriss Pho - F","$5 ","$5 ","$1.90 ","74%","284/632","0.449","113","72","753","348","60","67","70"
"Willie Cauley-Stein Sac - F,C","$5 ","$5 ","$3.80 ","81%","255/481","0.53","101","0","611","338","80","53","44"
"Zach LaVine Chi - G","$5 ","$5 ","$2.80 ","75%","326/710","0.459","117","120","889","160","139","41","10"
"J.J. Redick Phi - G","$4 ","$4 ","$2.00 ","76%","396/890","0.445","180","201","1173","171","110","54","13"
"Seth Curry Dal - G","$4 ","$4 ","$1.70 ","69%","338/703","0.481","85","137","898","179","188","79","7"
"Marvin Williams Cha - F","$4 ","$4 ","$1.40 ","70%","297/704","0.422","131","124","849","500","106","58","53"
"Thaddeus Young Ind - F","$4 ","$4 ","$1.50 ","72%","362/687","0.527","45","45","814","448","122","113","30"
"Dion Waiters Mia - G,F","$4 ","$4 ","$2.10 ","78%","281/663","0.424","82","85","729","153","200","42","20"
"Nikola Mirotic Chi - F","$4 ","$4 ","$1.40 ","68%","258/625","0.413","99","129","744","384","75","53","55"
"Greg Monroe Mil - F,C","$4 ","$4 ","$2.10 ","76%","387/725","0.534","177","0","951","533","187","92","38"
"Jamal Murray Den - G","$4 ","$4 ","$1.80 ","73%","295/730","0.404","106","115","811","214","170","51","24"
"Kent Bazemore Atl - G,F","$4 ","$4 ","$1.40 ","71%","295/721","0.409","119","92","801","231","177","91","52"
"Buddy Hield Sac - G","$3 ","$3 ","$2.00 ","75%","327/767","0.426","64","148","866","270","121","38","9"
"T.J. Warren Pho - F","$3 ","$3 ","$1.40 ","69%","403/814","0.495","119","26","951","339","75","76","39"
"Wilson Chandler Den - F","$3 ","$3 ","$2.70 ","71%","433/939","0.461","141","110","1117","460","141","51","30"
"Rodney Hood Uta - G,F","$3 ","$3 ","$2.10 ","77%","272/666","0.408","90","114","748","202","96","38","11"
"Jabari Parker Mil - F","$3 ","$3 ","$8.40 ","71%","399/814","0.49","162","65","1025","314","142","50","22"
"Robin Lopez Chi - C","$3 ","$3 ","$2.00 ","72%","382/775","0.493","75","0","839","520","80","18","117"
"Wesley Matthews Dal - G,F","$3 ","$3 ","$1.40 ","66%","333/847","0.393","146","174","986","259","210","77","15"
"Frank Kaminsky Cha - F,C","$3 ","$3 ","$1.40 ","63%","320/802","0.399","118","116","874","337","162","47","34"
"Derrick Favors Uta - F,C","$3 ","$3 ","$3.00 ","77%","203/417","0.487","67","3","476","305","56","45","40"
"Ryan Anderson Hou - F,C","$3 ","$3 ","$1.90 ","69%","323/773","0.418","129","204","979","330","68","31","14"
"Reggie Jackson Det - G","$3 ","$3 ","$1.70 ","67%","284/677","0.419","118","66","752","114","270","35","5"
"Zach Randolph Sac - F,C","$2 ","$2 ","$5.00 ","74%","433/964","0.449","141","21","1028","598","122","38","10"
"Will Barton Den - G,F","$2 ","$2 ","$1.10 ","60%","295/666","0.443","143","87","820","259","206","48","28"
"Kris Dunn Chi - G","$2 ","$2 ","$1.20 ","37%","118/313","0.377","36","21","293","166","188","78","36"
"Allen Crabbe Bkn - G","$2 ","$2 ","$1.20 ","54%","303/647","0.468","105","134","845","226","94","54","20"
"Tristan Thompson Cle - F,C","$2 ","$2 ","$1.70 ","69%","262/437","0.6","106","0","630","715","77","39","84"
"Jayson Tatum Bos - F","$2 ","$2 ","$1.50 ","73%","-/-","-","-","-","-","-","-","-","-"
"Jordan Clarkson LAL - G","$2 ","$2 ","$1.30 ","65%","477/1071","0.445","134","117","1205","246","213","89","8"
"Bojan Bogdanovic Ind - G,F","$2 ","$2 ","$1.20 ","30%","376/845","0.445","217","144","1113","277","111","34","7"
"Marcus Morris Bos - F","$1 ","$1 ","$1.20 ","56%","421/1007","0.418","145","118","1105","366","160","52","25"
"Terrence Ross Orl - G,F","$1 ","$1 ","$1.00 ","48%","326/746","0.437","64","142","858","206","88","87","33"
"Al-Farouq Aminu Por - F","$1 ","$1 ","$1.00 ","44%","183/467","0.392","96","70","532","451","99","61","44"
"Josh Jackson Pho - G,F","$1 ","$1 ","$2.10 ","72%","-/-","-","-","-","-","-","-","-","-"
"Joe Ingles Uta - G,F","$1 ","$1 ","$1.90 ","63%","204/451","0.452","50","123","581","261","225","95","8"
"Ersan Ilyasova Atl - F","$1 ","$1 ","$1.10 ","55%","384/890","0.431","161","142","1071","481","140","58","23"
"Justise Winslow Mia - F","$1 ","$1 ","$1.00 ","50%","80/225","0.356","29","7","196","94","66","26","6"
"Taurean Prince Atl - F","$1 ","$1 ","$1.60 ","42%","114/285","0.4","74","33","335","157","55","43","27"
"Michael Kidd-Gilchrist Cha - F","$1 ","$1 ","$1.50 ","43%","295/618","0.477","152","1","743","565","114","81","77"
"Kelly Olynyk Mia - C","$1 ","$1 ","$1.10 ","50%","260/508","0.512","90","68","678","361","148","43","29"
"Maurice Harkless Por - F","$1 ","$1 ","$1.00 ","39%","314/624","0.503","77","68","773","341","88","85","69"
"Austin Rivers LAC - G","$1 ","$1 ","$1.00 ","39%","323/731","0.442","132","111","889","161","204","48","10"
"Enes Kanter NY - C","$1 ","$1 ","$1.80 ","71%","402/737","0.545","224","5","1033","482","67","32","38"
"Derrick Rose Cle - G","$1 ","$1 ","$1.90 ","76%","460/977","0.471","221","13","1154","246","283","44","17"
"Tyler Johnson Mia - G","$1 ","$1 ","$1.20 ","59%","357/824","0.433","195","93","1002","293","233","84","44"
"Taj Gibson Min - F,C","$1 ","$1 ","$1.10 ","61%","365/709","0.515","113","3","846","485","73","41","65"
"Courtney Lee NY - G,F","$1 ","$1 ","$1.10 ","41%","321/704","0.456","85","108","835","258","179","81","24"
"Richaun Holmes Phi - F,C","$1 ","$1 ","$1.00 ","37%","230/412","0.558","72","27","559","311","58","42","54"
"Trevor Booker Bkn - F","$1 ","$1 ","$1.10 ","38%","305/591","0.516","74","25","709","571","138","75","28"
