"Rank","Player","Matchup","Salary","Avg","Prob","Status"
1,"Russell Westbrook","GS@OKC",10400,49.547,0.489,""
2,"James Harden","DEN@HOU",11300,57.515,0.221,""
3,"Lonzo Ball","LAL@SAC",7300,33.167,0.07,""
4,"Ben Simmons","POR@PHI",9500,46.641,0.069,""
5,"Stephen Curry","GS@OKC",9400,46.516,0.038,""
6,"Damian Lillard","POR@PHI",9100,43.824,0.035,""
7,"Kemba Walker","WAS@CHA",8000,39.031,0.015,""
8,"Kyrie Irving","BOS@MIA",8200,38.662,0.013,""
9,"Kyle Lowry","TOR@NY",8200,34.453,0.012,""
10,"John Wall","WAS@CHA",8700,41.55,0.009,""
11,"Jrue Holiday","SA@NO",6100,31.824,0.007,""
12,"Ricky Rubio","CHI@UTA",5800,28.471,0.007,""
13,"Eric Bledsoe","MIL@PHO",6500,28.306,0.006,""
14,"T.J. McConnell","POR@PHI",4000,19.953,0.004,""
15,"Elfrid Payton","ORL@MIN",6200,23.719,0.003,""
16,"C.J. McCollum","POR@PHI",7300,35.203,0.002,""
17,"Dennis Schroder","LAC@ATL",6700,35.533,0,""
18,"Malcolm Delaney","LAC@ATL",3500,13.217,0,""
19,"Tyler Dorsey","LAC@ATL",3000,2.625,0,""
20,"Josh Magette","LAC@ATL",3000,2.25,0,""
21,"Spencer Dinwiddie","BKN@CLE",6300,24.953,0,""
22,"Isaiah Whitehead","BKN@CLE",3500,9.35,0,""
23,"Sean Kilpatrick","BKN@CLE",3400,7.444,0,""
24,"Jacob Wiley","BKN@CLE",3000,5.813,0,""
25,"Terry Rozier","BOS@MIA",4400,20.556,0,""
26,"Shane Larkin","BOS@MIA",3200,6.367,0,""
27,"Malik Monk","WAS@CHA",3600,14.283,0,""
28,"Michael Carter-Williams","WAS@CHA",3200,11.7,0,""
29,"Marcus Paige","WAS@CHA",3000,2.5,0,""
30,"Kris Dunn","CHI@UTA",5400,27.5,0,""
31,"Jerian Grant","CHI@UTA",4600,21.467,0,""
32,"David Nwaba","CHI@UTA",4000,18.313,0,"GTD"
33,"Kay Felder","CHI@UTA",3000,8.425,0,""
34,"Ryan Arcidiacono","CHI@UTA",3000,1.5,0,""
35,"Antonio Blakeney","CHI@UTA",3000,11.75,0,""
36,"Dwyane Wade","BKN@CLE",5400,23.281,0,""
37,"Jose Calderon","BKN@CLE",3000,5.5,0,""
38,"London Perrantes","BKN@CLE",3000,0,0,""
39,"Dennis Smith Jr.","DAL@MEM",5500,27.688,0,""
40,"J.J. Barea","DAL@MEM",4300,23.903,0,""
41,"Yogi Ferrell","DAL@MEM",3800,18.736,0,""
42,"Devin Harris","DAL@MEM",3500,14.583,0,""
43,"Jamal Murray","DEN@HOU",5300,22.588,0,""
44,"Emmanuel Mudiay","DEN@HOU",4300,21.485,0,""
45,"Monte Morris","DEN@HOU",3000,0,0,""
46,"Shaun Livingston","GS@OKC",3600,12.517,0,""
47,"Quinn Cook","GS@OKC",3000,1,0,""
48,"Chris Paul","DEN@HOU",7500,36,0,""
49,"Bobby Brown","DEN@HOU",3100,5.438,0,""
50,"Briante Weber","DEN@HOU",3000,0,0,""
51,"Demetrius Jackson","DEN@HOU",3000,3.114,0,""
52,"Lou Williams","LAC@ATL",7100,27.609,0,""
53,"Austin Rivers","LAC@ATL",5100,22.578,0,""
54,"Jawun Evans","LAC@ATL",3000,8.139,0,""
55,"Jordan Clarkson","LAL@SAC",5100,23.292,0,""
56,"Tyler Ennis","LAL@SAC",3000,5.25,0,""
57,"Alex Caruso","LAL@SAC",3000,4.75,0,""
58,"Josh Hart","LAL@SAC",3000,7.346,0,""
59,"Vander Blue","LAL@SAC",3000,0.938,0,""
60,"Mario Chalmers","DAL@MEM",5000,20.75,0,""
61,"Andrew Harrison","DAL@MEM",3400,8.875,0,""
62,"Goran Dragic","BOS@MIA",6400,32.25,0,""
63,"Tyler Johnson","BOS@MIA",4100,19.483,0,""
64,"Derrick Walton Jr.","BOS@MIA",3000,0.813,0,""
65,"Malcolm Brogdon","MIL@PHO",4900,24.55,0,""
66,"Matthew Dellavedova","MIL@PHO",3200,12.962,0,"GTD"
67,"Jason Terry","MIL@PHO",3000,3.55,0,""
68,"DeAndre Liggins","MIL@PHO",3000,6.673,0,""
69,"Rashad Vaughn","MIL@PHO",3000,6.792,0,""
70,"Jeff Teague","ORL@MIN",6600,32.191,0,""
71,"Aaron Brooks","ORL@MIN",3000,2.844,0,""
72,"Tyus Jones","ORL@MIN",3000,8.868,0,""
73,"Rajon Rondo","SA@NO",4800,17.438,0,""
74,"Jameer Nelson","SA@NO",3700,19.033,0,""
75,"Ian Clark","SA@NO",3400,11.536,0,""
76,"Frank Ntilikina","TOR@NY",4000,15.607,0,"GTD"
77,"Jarrett Jack","TOR@NY",3700,18.214,0,""
78,"Ramon Sessions","TOR@NY",3400,13.708,0,""
79,"Ron Baker","TOR@NY",3000,12,0,"GTD"
80,"Raymond Felton","GS@OKC",3300,14.828,0,""
81,"PJ Dozier","GS@OKC",3000,0,0,""
82,"D.J. Augustin","ORL@MIN",4000,19.025,0,""
83,"Shelvin Mack","ORL@MIN",3400,16.317,0,""
84,"Mario Hezonja","ORL@MIN",3000,7.625,0,""
85,"Jerryd Bayless","POR@PHI",3900,18.475,0,""
86,"Jacob Pullen","POR@PHI",3000,0,0,""
87,"Mike James","MIL@PHO",4300,23.097,0,""
88,"Tyler Ulis","MIL@PHO",4300,16.206,0,""
89,"Shabazz Napier","POR@PHI",3700,14.192,0,""
90,"Kyle Anderson","SA@NO",4600,24.206,0,""
91,"Patty Mills","SA@NO",4500,19.853,0,""
92,"Dejounte Murray","SA@NO",4300,19.118,0,""
93,"Bryn Forbes","SA@NO",3900,10.578,0,""
94,"De'Aaron Fox","LAL@SAC",4600,22.691,0,""
95,"George Hill","LAL@SAC",4100,19.767,0,""
96,"Garrett Temple","LAL@SAC",3500,16.047,0,""
97,"Frank Mason III","LAL@SAC",3000,12.375,0,""
98,"Fred VanVleet","TOR@NY",3500,11.938,0,""
99,"Lorenzo Brown","TOR@NY",3000,6.75,0,""
100,"Donovan Mitchell","CHI@UTA",6600,26.667,0,""
101,"Alec Burks","CHI@UTA",3500,12.515,0,""
102,"Raul Neto","CHI@UTA",3000,10.432,0,""
103,"Nate Wolters","CHI@UTA",3000,1.375,0,""
104,"Tim Frazier","WAS@CHA",3600,13.603,0,""
105,"Tomas Satoransky","WAS@CHA",3200,6.917,0,""
